;id;scientific.name;accepted.name;family;taxon.rank;taxon.status;search.str;threat.status.cnc;threat.status.mma;threat.status.mma2022;life.form;habitat;vegetation.type;vernacular.name;occurrence;establishment;domain;endemism
2292;11713;Habenaria trifida Kunth;NA;Orchidaceae;species;accepted;Habenaria trifida;LC;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Varzea|Campo Limpo|Cerrado (lato sensu)|Savana Amazonica|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RR|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
2293;31890;Habenaria brevidens Lindl.;NA;Orchidaceae;species;accepted;Habenaria brevidens;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-DF|BR-GO|BR-MG|BR-SP;native;Cerrado;Endemic
2294;11649;Habenaria caldensis Kraenzl.;NA;Orchidaceae;species;accepted;Habenaria caldensis;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Campo rupestre;NA;BR-BA|BR-GO|BR-MG|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Endemic
2295;11694;Habenaria parviflora Lindl.;NA;Orchidaceae;species;accepted;Habenaria parviflora;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo Limpo|Campo rupestre|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
2297;11683;Habenaria macronectar (Vell.) Hoehne;NA;Orchidaceae;species;accepted;Habenaria macronectar;LC;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Floresta Estacional Semidecidual;NA;BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
2298;11660;Habenaria exaltata Barb.Rodr.;NA;Orchidaceae;species;accepted;Habenaria exaltata;LC;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Cerrado (lato sensu);NA;BR-BA|BR-MG|BR-MS|BR-PR|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
2301;20070;Habenaria imbricata Lindl.;NA;Orchidaceae;species;accepted;Habenaria imbricata;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Campo rupestre;NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-RO|BR-RS|BR-SP;native;Amazonia|Cerrado;Endemic
2302;31897;Habenaria guilleminii Rchb.f.;NA;Orchidaceae;species;accepted;Habenaria guilleminii;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Campo rupestre;NA;BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO;native;Cerrado|Mata Atlantica;Non Endemic
2303;20068;Habenaria hamata Barb.Rodr.;NA;Orchidaceae;species;accepted;Habenaria hamata;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AP|BR-BA|BR-DF|BR-GO|BR-MG|BR-PA|BR-PB|BR-PE|BR-PI|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado;Non Endemic
2304;11671;Habenaria henscheniana Barb.Rodr.;NA;Orchidaceae;species;accepted;Habenaria henscheniana;NA;NA;NA;Herb;Terrestrial;Campo Limpo;NA;BR-MG|BR-PR|BR-RS;native;Mata Atlantica;Endemic
2305;11672;Habenaria hexaptera Lindl.;NA;Orchidaceae;species;accepted;Habenaria hexaptera;LC;NA;NA;Herb;Terrestrial;Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-RJ|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
2306;11673;Habenaria hydrophila Barb.Rodr.;NA;Orchidaceae;species;accepted;Habenaria hydrophila;DD;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo rupestre|Cerrado (lato sensu);NA;BR-DF|BR-MG|BR-SP;native;Cerrado|Mata Atlantica;Endemic
2308;11674;Habenaria inconspicua Cogn.;NA;Orchidaceae;species;accepted;Habenaria inconspicua;NA;NA;NA;Herb;Terrestrial;Campo Limpo;NA;BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
2309;11676;Habenaria jaguariahyvae Kraenzl.;NA;Orchidaceae;species;accepted;Habenaria jaguariahyvae;NA;NA;NA;Herb;Terrestrial;Campo Limpo;NA;BR-GO|BR-MG|BR-PA|BR-PR|BR-TO;native;Amazonia|Cerrado|Mata Atlantica;Endemic
2310;11677;Habenaria johannensis Barb.Rodr.;NA;Orchidaceae;species;accepted;Habenaria johannensis;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Campo rupestre|Floresta Ciliar ou Galeria;NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
2311;11679;Habenaria josephensis Barb.Rodr.;NA;Orchidaceae;species;accepted;Habenaria josephensis;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo Limpo|Campo rupestre|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial);NA;BR-AL|BR-BA|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP;native;Caatinga|Mata Atlantica|Pampa;Endemic
2312;11681;Habenaria leucosantha Barb.Rodr.;NA;Orchidaceae;species;accepted;Habenaria leucosantha;LC;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo;NA;BR-DF|BR-GO|BR-MG|BR-PR|BR-RS|BR-SP|BR-TO;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
2315;20078;Habenaria obtusa Lindl.;NA;Orchidaceae;species;accepted;Habenaria obtusa;NA;NA;NA;Herb;Terrestrial;Campo de Varzea|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Varzea|Palmeiral|Savana Amazonica|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AL|BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado;Non Endemic
2316;614040;Habenaria omissa J.A.N.Bat. & Bianch.;NA;Orchidaceae;species;accepted;Habenaria omissa;NA;NA;NA;Herb;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-DF|BR-GO|BR-MG|BR-SP;native;Cerrado;Endemic
2320;11700;Habenaria pratensis (Salzm. ex Lindl.) Rchb.f.;NA;Orchidaceae;species;accepted;Habenaria pratensis;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Floresta Ciliar ou Galeria|Savana Amazonica|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AL|BR-AM|BR-BA|BR-CE|BR-GO|BR-MA|BR-MG|BR-MT|BR-PB|BR-PE|BR-PI|BR-RN|BR-SC|BR-SE;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
2321;11701;Habenaria regnellii Cogn.;NA;Orchidaceae;species;accepted;Habenaria regnellii;LC;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Floresta Ombrofila (= Floresta Pluvial);NA;BR-DF|BR-MG|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
2322;11704;Habenaria rodeiensis Barb.Rodr.;NA;Orchidaceae;species;accepted;Habenaria rodeiensis;LC;NA;NA;Herb;Terrestrial;Area Antropica|Campo Limpo;NA;BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;Amazonia|Cerrado|Mata Atlantica;Endemic
2323;31922;Habenaria rodriguesii Cogn.;NA;Orchidaceae;species;accepted;Habenaria rodriguesii;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo;NA;BR-MG|BR-RJ;native;Cerrado|Mata Atlantica;Endemic
2324;11708;Habenaria rupicola Barb.Rodr.;NA;Orchidaceae;species;accepted;Habenaria rupicola;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AP|BR-BA|BR-DF|BR-GO|BR-MG|BR-MT|BR-RJ|BR-RS|BR-SC|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
2326;11711;Habenaria secunda Lindl.;NA;Orchidaceae;species;accepted;Habenaria secunda;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Floresta Ombrofila (= Floresta Pluvial);NA;BR-DF|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
2327;31924;Habenaria secundiflora Barb.Rodr.;NA;Orchidaceae;species;accepted;Habenaria secundiflora;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Campo rupestre|Floresta Ciliar ou Galeria;NA;BR-AM|BR-BA|BR-DF|BR-GO|BR-MG|BR-PA|BR-PR|BR-SP;native;Amazonia|Cerrado;Non Endemic
2328;37690;Habenaria uliginosa Rchb.f.;NA;Orchidaceae;species;accepted;Habenaria uliginosa;NA;NA;NA;Herb;Terrestrial;Campo de Altitude;NA;BR-MG;native;Mata Atlantica;Endemic
2331;14059;Hamelia patens Jacq.;NA;Rubiaceae;species;accepted;Hamelia patens;NA;NA;NA;Shrub|Tree;Terrestrial;Area Antropica|Campinarana|Campo de Varzea|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Igapo|Floresta de Varzea|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Restinga|Savana Amazonica;valmoura/PORTUGUES/Acre | mato-de-orecao/PORTUGUES/Acre;BR-AC|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
2333;114069;Handroanthus albus (Cham.) Mattos;NA;Bignoniaceae;species;accepted;Handroanthus albus;LC;NA;NA;Tree;Terrestrial;Campo rupestre|Floresta Ombrofila (= Floresta Pluvial);NA;BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Mata Atlantica;Non Endemic
2336;114091;Handroanthus ochraceus (Cham.) Mattos;NA;Bignoniaceae;species;accepted;Handroanthus ochraceus;NA;NA;NA;Tree;Terrestrial;Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
2346;1547;Hatiora salicornioides (Haw.) Britton & Rose;NA;Cactaceae;species;accepted;Hatiora salicornioides;NA;NA;NA;Herb|Subshrub|Succulent;Epiphyte|Rupicolous;Campo de Altitude|Campo rupestre|Floresta Ciliar ou Galeria|Floresta Estacional Perenifolia|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;NA;BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Endemic
2347;115477;Hatschbachiella polyclada (Dusen ex Malme) R.M.King & H.Rob.;NA;Asteraceae;species;accepted;Hatschbachiella polyclada;NT;NA;NA;Herb|Subshrub;Rupicolous;Campo rupestre|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-MG|BR-MT|BR-PR;native;Cerrado|Mata Atlantica;Endemic
2348;4319;Hebanthe erianthos (Poir.) Pedersen;NA;Amaranthaceae;species;accepted;Hebanthe erianthos;NA;NA;NA;Shrub|Subshrub;Terrestrial;Campo Limpo|Floresta de Varzea|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Savana Amazonica|Vegetacao Sobre Afloramentos Rochosos;solidonia/PORTUGUES/NA | picao-de-tropeiro/PORTUGUES/NA;BR-AC|BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RR|BR-RS|BR-SC|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
2350;110705;Hedychium coronarium J.Koenig;NA;Zingiberaceae;species;accepted;Hedychium coronarium;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Varzea|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga;lirio-do-brejo/PORTUGUES/NA | narciso/PORTUGUES/NA | lagrima-de-moca/PORTUGUES/NA | jasmim-do-brejo/PORTUGUES/NA | escalda-mao/PORTUGUES/NA;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;naturalized;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
2351;6808;Hedyosmum brasiliense Mart. ex Miq.;NA;Chloranthaceae;species;accepted;Hedyosmum brasiliense;NA;NA;NA;Shrub|Tree;Terrestrial;Campinarana|Campo rupestre|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Restinga;NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-SC|BR-SP;native;Amazonia|Cerrado|Mata Atlantica;Non Endemic
2354;25581;Helia brevifolia Cham.;NA;Gentianaceae;species;accepted;Helia brevifolia;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
2360;96433;Helicophyllum torquatum (Hook.) Brid.;NA;Helicophyllaceae;species;accepted;Helicophyllum torquatum;NA;NA;NA;Weft;Corticicola|Rupicolous;Campo rupestre|Cerrado (lato sensu)|Floresta de Terra Firme|Floresta Estacional Perenifolia|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga;NA;BR-AL|BR-AM|BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
2362;9067;Helicteres brevispira A.St.-Hil.;NA;Malvaceae;species;accepted;Helicteres brevispira;NA;NA;NA;Shrub|Tree;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial);NA;BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pantanal;Non Endemic
2366;16552;Heliotropium transalpinum Vell.;NA;Heliotropiaceae;species;accepted;Heliotropium transalpinum;NA;NA;NA;Shrub|Subshrub;Terrestrial;Caatinga (stricto sensu)|Campo de Varzea|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;pau-de-sapo/PORTUGUES/Bahia;BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
2368;605481;Morilloa furlanii (Fontella) Fontella, Goes & S.A.Caceres;NA;Apocynaceae;species;accepted;Morilloa furlanii;EN;NA;EN;Climber;Terrestrial;Campo rupestre;NA;BR-MG;native;Cerrado;Endemic
2379;27088;Heterocondylus amphidyctius (DC.) R.M.King & H.Rob.;NA;Asteraceae;species;accepted;Heterocondylus amphidyctius;LC;NA;NA;Subshrub;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-GO|BR-MG|BR-SP;native;Cerrado;Endemic
2380;27089;Heterocondylus decipiens (Baker) R.M.King & H.Rob.;NA;Asteraceae;species;accepted;Heterocondylus decipiens;NA;NA;NA;Subshrub;Terrestrial;Campo Limpo|Cerrado (lato sensu);NA;BR-GO|BR-MG|BR-PR|BR-RS|BR-SC;native;Cerrado|Pampa;Endemic
2383;117155;Heterocondylus pumilus (Gardner) R.M.King & H.Rob.;NA;Asteraceae;species;accepted;Heterocondylus pumilus;LC;NA;NA;Subshrub;Terrestrial;Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-GO|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;Cerrado;Endemic
2386;19447;Heteropterys campestris A.Juss.;NA;Malpighiaceae;species;accepted;Heteropterys campestris;NA;NA;NA;Climber|Subshrub;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-SP|BR-TO;native;Cerrado;NA
2387;19452;Heteropterys eglandulosa A.Juss.;NA;Malpighiaceae;species;accepted;Heteropterys eglandulosa;NA;NA;NA;Shrub;Terrestrial;Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Restinga;NA;BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;NA
2391;19453;Heteropterys escalloniifolia A.Juss.;NA;Malpighiaceae;species;accepted;Heteropterys escalloniifolia;NA;NA;NA;Shrub|Subshrub;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PI|BR-RJ|BR-SP;native;Caatinga|Cerrado;NA
2403;30531;Hibiscus flagelliformis A.St.-Hil.;NA;Malvaceae;species;accepted;Hibiscus flagelliformis;NA;NA;NA;Subshrub;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-DF|BR-GO|BR-MG;native;Cerrado;Endemic
2404;27092;Hieracium commersonii Monnier;NA;Asteraceae;species;accepted;Hieracium commersonii;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Floresta Estacional Semidecidual;NA;BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Mata Atlantica|Pampa;Non Endemic
2412;4621;Himatanthus drasticus (Mart.) Plumel;NA;Apocynaceae;species;accepted;Himatanthus drasticus;NA;NA;NA;Tree;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;janauba/PORTUGUES/Nordeste | tiborna/PORTUGUES/Nordeste;BR-AP|BR-BA|BR-CE|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-PI|BR-RN|BR-RR|BR-TO;native;Amazonia|Caatinga|Cerrado;Endemic
2414;4360;Hippeastrum glaucescens (Mart.) Herb.;NA;Amaryllidaceae;species;accepted;Hippeastrum glaucescens;NA;NA;NA;Herb;Rupicolous|Terrestrial;Campo de Altitude|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Restinga|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Non Endemic
2415;33503;Hippeastrum morelianum Lem.;NA;Amaryllidaceae;species;accepted;Hippeastrum morelianum;VU;VU;VU;Herb;Rupicolous|Terrestrial;Campo rupestre|Vegetacao Sobre Afloramentos Rochosos;NA;BR-MG|BR-RJ|BR-SP;native;Mata Atlantica;Endemic
2417;33509;Hippeastrum reginae (L.) Herb.;NA;Amaryllidaceae;species;accepted;Hippeastrum reginae;EN;EN;NA;Herb;Rupicolous|Terrestrial;Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Vegetacao Sobre Afloramentos Rochosos;NA;BR-ES|BR-GO|BR-MG|BR-RJ|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
2421;90927;Histiopteris incisa (Thunb.) J.Sm.;NA;Dennstaedtiaceae;species;accepted;Histiopteris incisa;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;NA;BR-BA|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RR|BR-RS|BR-SC|BR-SP;native;Amazonia|Mata Atlantica;Non Endemic
2423;16142;Hoehnephytum almasense D.J.N.Hind;NA;Asteraceae;species;accepted;Hoehnephytum almasense;EN;EN;EN;Shrub|Subshrub;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-BA;native;Caatinga|Cerrado;Endemic
2424;16144;Hoehnephytum trixoides (Gardner) Cabrera;NA;Asteraceae;species;accepted;Hoehnephytum trixoides;LC;NA;NA;Shrub|Subshrub;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-SP;native;Cerrado;Endemic
2426;65083;Cattleya crispata (Thunb.) Van den Berg;NA;Orchidaceae;species;accepted;Cattleya crispata;NT;NA;NA;Herb;Rupicolous;Campo rupestre;NA;BR-MG;native;Cerrado;Endemic
2427;27096;Holocheilus brasiliensis (L.) Cabrera;NA;Asteraceae;species;accepted;Holocheilus brasiliensis;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Floresta Ombrofila Mista;margaridinha/PORTUGUES/sudeste;BR-MG|BR-PR|BR-RS|BR-SC|BR-SP;native;Mata Atlantica|Pampa;Non Endemic
2428;104602;Holocheilus pinnatifidus (Less.) Cabrera;NA;Asteraceae;species;accepted;Holocheilus pinnatifidus;LC;NA;NA;Herb;Terrestrial;Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;NA;BR-MG|BR-PR|BR-SP;native;Mata Atlantica;NA
2429;27098;Hololepis pedunculata (DC. ex Pers.) DC.;NA;Asteraceae;species;accepted;Hololepis pedunculata;LC;NA;NA;Shrub|Tree;Terrestrial;Campo rupestre|Floresta Ciliar ou Galeria;NA;BR-MG;native;Cerrado;Endemic
2431;96193;Holomitrium crispulum Mart.;NA;Dicranaceae;species;accepted;Holomitrium crispulum;NA;NA;NA;Cushion|Foliose|Tuft;Corticicola|Epixila|Rupicolous;Campo de Altitude|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga;NA;BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Amazonia|Cerrado|Mata Atlantica|Pantanal;Non Endemic
2434;13262;Homolepis glutinosa (Sw.) Zuloaga & Soderstr.;NA;Poaceae;species;accepted;Homolepis glutinosa;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga;NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Endemic
2439;128527;Phlegmariurus reflexus (Lam.) B.Ollg.;NA;Lycopodiaceae;species;accepted;Phlegmariurus reflexus;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AM|BR-DF|BR-GO|BR-MG|BR-MS|BR-PA|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
2440;128529;Phlegmariurus regnellii (Maxon) B.Ollg.;NA;Lycopodiaceae;species;accepted;Phlegmariurus regnellii;CR;CR;CR;Herb;Rupicolous|Terrestrial;Campo rupestre|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-MG|BR-RJ;native;Mata Atlantica;Endemic
2446;139428;Pombalia setigera (A.St.-Hil.) Paula-Souza;NA;Violaceae;species;accepted;Pombalia setigera;NA;NA;NA;Shrub|Subshrub;Terrestrial;Caatinga (stricto sensu)|Campo rupestre|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial);NA;BR-BA|BR-CE|BR-GO|BR-MG|BR-RJ|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Endemic
2450;103115;Hydrocotyle asterias Cham. & Schltdl.;NA;Araliaceae;species;accepted;Hydrocotyle asterias;NA;NA;NA;Herb;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-MG;native;Cerrado;Endemic
2464;13271;Hyparrhenia bracteata (Humb. & Bonpl. ex Willd.) Stapf;NA;Poaceae;species;accepted;Hyparrhenia bracteata;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo de Varzea|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Palmeiral;NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-SP;native;Cerrado|Mata Atlantica|Pantanal;Non Endemic
2465;8171;Hypenia macrantha (A.St.-Hil. ex Benth.) Harley;NA;Lamiaceae;species;accepted;Hypenia macrantha;NA;NA;NA;Herb|Subshrub;Terrestrial;Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-SP;native;Cerrado|Mata Atlantica;Endemic
