;id;scientific.name;accepted.name;family;taxon.rank;taxon.status;search.str;threat.status.cnc;threat.status.mma;threat.status.mma2022;life.form;habitat;vegetation.type;vernacular.name;occurrence;establishment;domain;endemism
4515;8306;Salvia brevipes Benth.;NA;Lamiaceae;species;accepted;Salvia brevipes;NA;NA;NA;Subshrub;Terrestrial;Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-MT;native;Cerrado|Mata Atlantica;Non Endemic
4518;8312;Salvia confertiflora Pohl;NA;Lamiaceae;species;accepted;Salvia confertiflora;NA;NA;NA;Subshrub;Terrestrial;Area Antropica|Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Vegetacao Sobre Afloramentos Rochosos;Sabra-spike Sage/INGLES/NA;BR-MG|BR-RJ|BR-SP;native;Cerrado|Mata Atlantica;Endemic
4519;8317;Salvia decurrens Epling;NA;Lamiaceae;species;accepted;Salvia decurrens;NA;NA;NA;Subshrub;Terrestrial;Campo de Altitude;NA;BR-MG;native;Mata Atlantica;Endemic
4521;8326;Salvia lachnostachys Benth.;NA;Lamiaceae;species;accepted;Salvia lachnostachys;NA;NA;NA;Herb|Subshrub;Terrestrial;Area Antropica|Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;NA;BR-PR|BR-SC|BR-SP;native;Mata Atlantica;Endemic
4524;8332;Salvia minarum Briq.;NA;Lamiaceae;species;accepted;Salvia minarum;NA;NA;NA;Subshrub;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-PR|BR-RS|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
4525;36597;Salvia nervosa Benth.;NA;Lamiaceae;species;accepted;Salvia nervosa;NA;NA;NA;Subshrub;Terrestrial;Area Antropica|Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Ombrofila Mista;NA;BR-MG|BR-PR|BR-RS|BR-SP;native;Mata Atlantica;Non Endemic
4527;8335;Salvia ombrophila Dusen;NA;Lamiaceae;species;accepted;Salvia ombrophila;NA;NA;NA;Shrub|Subshrub;Terrestrial;Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial);NA;BR-MG|BR-RJ|BR-SP;native;Mata Atlantica;Endemic
4529;8345;Salvia rosmarinoides A.St.-Hil. ex Benth.;NA;Lamiaceae;species;accepted;Salvia rosmarinoides;NA;NA;NA;Subshrub;Terrestrial;Campo de Altitude|Campo Limpo;NA;BR-RS;native;Mata Atlantica|Pampa;Non Endemic
4535;8356;Salvia uliginosa Benth.;NA;Lamiaceae;species;accepted;Salvia uliginosa;NA;NA;NA;Shrub|Subshrub;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;Bog Sage/INGLES/NA | Salvia Celeste/ESPANHOL/NA;BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Mata Atlantica|Pampa;Non Endemic
4549;12190;Sarcoglottis biflora (Vell.) Schltr.;NA;Orchidaceae;species;accepted;Sarcoglottis biflora;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Cerrado (lato sensu);NA;BR-DF|BR-GO|BR-MG|BR-PR|BR-RJ;native;Cerrado|Mata Atlantica;Non Endemic
4551;38426;Veyretia aphylla (Ridl.) Szlach.;NA;Orchidaceae;species;accepted;Veyretia aphylla;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-MG|BR-MT|BR-SE|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Non Endemic
